Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id10957,4,1,6,2,1,16,1,5,NaN,6,5,6,8,1,4,NaN,8,7,1,4,2,10,7,2,1,1,1,1,7,3,4,1,7,NaN,1,NaN,6,1,1,4,1,1,NaN,NaN,2,4,2,4
id10959,3,2,4,5,1,9,2,5,1,4,5,4,8,2,3,1,8,6,1,1,5,7,7,3,1,2,2,2,7,6,3,2,6,1,2,NaN,4,1,1,2,1,1,NaN,NaN,2,2,2,3
id10960,NaN,NaN,2,1,NaN,8,NaN,4,NaN,3,3,2,4,NaN,NaN,NaN,3,4,NaN,NaN,2,4,4,1,NaN,1,NaN,1,4,2,NaN,NaN,4,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,3
id10965,2,NaN,3,5,NaN,17,1,6,NaN,4,4,2,4,NaN,1,NaN,5,6,NaN,NaN,4,6,7,NaN,NaN,1,NaN,1,6,2,NaN,NaN,6,NaN,NaN,NaN,3,NaN,1,1,1,NaN,NaN,NaN,1,NaN,1,6
id10971,NaN,NaN,NaN,NaN,NaN,5,NaN,4,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
id10972,1,1,NaN,NaN,2,3,1,8,1,NaN,2,NaN,2,NaN,NaN,NaN,1,2,NaN,NaN,2,1,2,1,NaN,1,NaN,NaN,2,1,NaN,NaN,2,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
id10973,1,NaN,8,1,NaN,16,2,6,1,7,11,11,11,NaN,1,1,9,11,NaN,NaN,3,11,11,2,1,1,NaN,2,11,3,NaN,NaN,12,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,5
id11232,3,2,3,1,1,2,2,3,2,3,1,2,1,1,1,2,3,2,2,1,1,2,1,2,2,3,2,2,1,2,2,2,2,2,1,1,2,NaN,2,1,1,1,NaN,1,NaN,1,1,3
id11609,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11610,1,1,6,NaN,NaN,12,1,4,1,6,5,6,6,1,1,1,6,6,1,1,1,6,5,2,1,2,1,2,5,2,1,1,6,1,1,1,6,NaN,1,1,1,1,NaN,1,2,1,2,3
id11611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11616,1,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11920,3,1,8,4,1,14,1,8,1,9,9,9,10,2,1,1,11,10,2,1,3,9,10,2,2,3,2,4,11,4,1,1,9,1,2,NaN,9,1,2,NaN,NaN,NaN,1,NaN,1,1,1,5
id13078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14092,2,1,4,1,NaN,17,1,2,1,4,3,4,5,1,1,1,6,5,1,1,2,5,4,2,1,2,1,2,4,3,1,2,5,1,1,1,4,NaN,1,1,1,1,NaN,1,2,1,2,1
id14094,1,NaN,5,2,1,23,NaN,3,NaN,4,7,5,9,NaN,1,NaN,8,9,NaN,1,4,9,9,1,NaN,1,NaN,1,9,3,1,1,9,NaN,NaN,NaN,5,NaN,NaN,1,NaN,NaN,NaN,NaN,2,NaN,1,2
id14095,NaN,NaN,2,NaN,NaN,5,NaN,2,NaN,3,2,2,2,NaN,NaN,NaN,3,3,NaN,NaN,1,3,3,NaN,NaN,1,NaN,1,3,NaN,NaN,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14096,2,NaN,NaN,1,NaN,5,NaN,1,NaN,1,NaN,NaN,2,NaN,2,NaN,2,1,NaN,2,1,3,1,1,NaN,1,NaN,1,1,2,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,2,1,NaN
id14097,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14098,1,NaN,3,NaN,NaN,3,NaN,1,NaN,4,2,3,3,NaN,1,NaN,4,3,NaN,1,NaN,4,3,NaN,NaN,1,NaN,1,3,NaN,1,NaN,3,NaN,NaN,NaN,3,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id14099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14100,1,NaN,NaN,NaN,NaN,2,NaN,2,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,2,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1
id14101,1,1,3,2,1,7,1,2,NaN,4,3,3,4,1,1,NaN,5,4,1,1,2,3,4,1,1,1,1,1,4,2,1,1,3,NaN,1,NaN,3,1,1,1,1,1,NaN,NaN,2,1,2,1
id14103,1,1,2,2,1,4,1,3,NaN,2,3,2,4,1,2,NaN,3,4,1,1,3,4,4,2,1,1,1,1,4,3,1,1,4,NaN,1,NaN,2,1,1,1,1,1,NaN,NaN,3,1,2,2
id14104,3,NaN,8,1,NaN,16,NaN,1,NaN,7,7,7,7,NaN,3,NaN,6,8,NaN,2,NaN,9,7,NaN,NaN,1,1,1,7,NaN,2,NaN,7,NaN,NaN,1,7,NaN,NaN,3,NaN,NaN,NaN,NaN,3,2,1,NaN
id14105,NaN,NaN,5,NaN,NaN,7,NaN,2,NaN,6,6,6,7,NaN,NaN,NaN,7,7,NaN,1,2,6,8,1,NaN,1,NaN,2,7,1,1,NaN,7,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,1
id14106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id14107,2,NaN,2,NaN,NaN,13,NaN,NaN,NaN,2,2,2,3,NaN,3,NaN,1,2,NaN,2,NaN,4,2,1,NaN,NaN,NaN,1,2,1,2,NaN,2,NaN,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,NaN,2,2,1,NaN
id14108,NaN,NaN,3,NaN,NaN,5,NaN,2,NaN,4,4,3,3,NaN,NaN,NaN,3,4,NaN,NaN,1,3,4,NaN,NaN,1,NaN,1,4,NaN,NaN,NaN,4,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14109,1,NaN,5,NaN,NaN,14,1,2,NaN,5,5,5,6,NaN,2,1,5,6,NaN,1,1,6,6,3,NaN,1,NaN,1,7,1,2,NaN,7,1,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,1
id14110,1,1,5,NaN,NaN,11,1,3,1,4,3,5,4,1,1,1,6,6,1,1,4,6,5,1,1,2,1,2,5,1,1,1,6,1,1,1,3,NaN,1,1,1,1,NaN,1,1,1,2,2
id14111,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,NaN,2,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14112,NaN,NaN,NaN,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14113,1,1,6,NaN,NaN,2,1,2,1,7,5,6,5,1,1,1,7,6,1,1,1,6,5,1,1,2,1,2,5,1,1,1,6,1,1,1,6,NaN,1,1,1,1,NaN,1,1,1,2,1
id14114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id14115,NaN,NaN,5,2,NaN,16,NaN,2,NaN,5,4,5,6,NaN,NaN,NaN,7,7,NaN,NaN,3,6,7,NaN,NaN,1,1,1,7,1,NaN,NaN,7,NaN,1,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14119,NaN,NaN,2,NaN,NaN,9,NaN,1,NaN,1,2,2,3,NaN,1,NaN,2,2,NaN,NaN,NaN,2,2,1,NaN,1,NaN,1,2,1,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id14120,NaN,NaN,1,1,NaN,9,NaN,1,NaN,2,1,1,3,NaN,NaN,NaN,3,2,NaN,NaN,1,2,2,1,NaN,1,NaN,1,2,2,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id14121,3,1,7,1,NaN,13,1,2,1,8,8,8,10,1,4,1,9,8,NaN,3,2,11,9,2,NaN,2,1,2,9,3,4,2,8,1,1,NaN,8,NaN,NaN,3,NaN,NaN,NaN,NaN,1,2,1,1
id14122,1,NaN,8,1,NaN,17,NaN,2,NaN,8,8,9,10,1,2,NaN,10,10,1,1,3,10,10,1,NaN,2,NaN,2,10,2,1,NaN,9,NaN,NaN,NaN,8,NaN,NaN,1,NaN,NaN,1,NaN,2,2,1,1
id14123,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14124,1,NaN,11,1,NaN,11,NaN,2,NaN,9,11,11,13,NaN,1,NaN,13,13,NaN,1,2,14,13,1,NaN,1,NaN,1,13,2,1,1,13,NaN,NaN,NaN,11,NaN,NaN,1,NaN,NaN,NaN,NaN,3,NaN,1,1
id14125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14219,2,2,6,1,1,13,2,3,1,7,4,6,6,2,2,1,7,6,2,2,2,6,5,3,2,2,2,4,5,3,2,2,6,1,2,1,6,1,2,2,2,2,NaN,1,2,2,3,2
id1496,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16033,NaN,NaN,11,4,NaN,24,NaN,1,NaN,11,11,11,14,NaN,NaN,NaN,13,13,NaN,NaN,2,13,13,1,NaN,1,2,1,13,3,NaN,NaN,15,NaN,2,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16087,NaN,NaN,2,NaN,NaN,10,NaN,1,NaN,3,3,2,3,NaN,NaN,NaN,2,3,NaN,NaN,1,3,3,1,NaN,NaN,NaN,1,3,1,NaN,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id16094,1,1,2,NaN,NaN,5,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,NaN,1,1,1,1,NaN,1,NaN,1,1,1
id16221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16278,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16280,1,1,5,1,1,5,1,1,NaN,4,4,5,5,1,1,NaN,4,5,1,1,1,5,5,1,1,NaN,1,NaN,5,1,1,1,5,NaN,1,NaN,5,1,1,1,1,1,NaN,NaN,2,1,1,1
id16282,4,1,11,3,1,19,1,1,NaN,12,10,11,13,1,4,NaN,12,12,1,4,3,15,13,1,1,NaN,1,1,13,3,4,2,12,NaN,1,NaN,11,1,1,4,1,1,NaN,NaN,2,3,2,1
id16283,NaN,NaN,4,NaN,NaN,4,NaN,NaN,NaN,5,4,4,4,NaN,NaN,NaN,4,4,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,1,4,NaN,NaN,NaN,4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16284,NaN,NaN,4,2,NaN,14,NaN,NaN,NaN,4,1,3,4,NaN,NaN,NaN,4,5,NaN,1,1,4,4,NaN,NaN,NaN,1,1,4,1,NaN,NaN,4,NaN,NaN,NaN,3,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN
id16285,1,1,3,1,1,11,1,1,NaN,4,2,3,3,1,1,NaN,3,3,1,1,1,3,3,1,1,NaN,1,1,3,1,1,1,3,NaN,1,NaN,3,1,1,1,1,1,NaN,NaN,2,1,2,1
id16286,NaN,NaN,2,NaN,NaN,6,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,NaN
id16288,NaN,NaN,5,NaN,NaN,3,NaN,NaN,NaN,4,5,5,5,NaN,2,NaN,3,5,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,1,5,NaN,NaN,NaN,5,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id16291,NaN,NaN,2,NaN,NaN,5,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16292,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16293,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16294,NaN,NaN,5,2,NaN,8,NaN,NaN,NaN,5,4,5,7,NaN,NaN,NaN,6,7,NaN,NaN,2,7,7,NaN,NaN,NaN,NaN,NaN,7,2,NaN,NaN,7,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16295,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16296,NaN,NaN,6,1,NaN,20,NaN,NaN,NaN,7,6,6,7,NaN,NaN,NaN,7,7,NaN,NaN,1,7,7,NaN,1,NaN,NaN,1,7,1,NaN,NaN,7,NaN,1,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16297,3,1,3,2,1,11,1,1,NaN,3,2,3,4,1,3,NaN,4,4,1,3,2,6,4,1,1,NaN,1,NaN,4,2,3,1,3,NaN,1,NaN,3,1,1,3,1,1,NaN,NaN,1,3,1,1
id16299,1,NaN,7,1,NaN,2,NaN,NaN,NaN,9,7,8,9,NaN,NaN,NaN,9,9,NaN,NaN,1,9,9,NaN,NaN,NaN,NaN,1,9,1,NaN,NaN,9,NaN,NaN,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id16301,1,NaN,7,1,NaN,11,NaN,NaN,NaN,6,8,7,8,NaN,1,NaN,7,8,NaN,1,1,9,8,NaN,NaN,NaN,1,2,8,1,1,1,8,NaN,NaN,NaN,7,NaN,1,1,NaN,NaN,NaN,NaN,2,1,1,NaN
id16303,NaN,NaN,4,1,NaN,5,NaN,NaN,NaN,5,4,4,5,NaN,NaN,NaN,5,5,NaN,NaN,1,5,5,NaN,NaN,NaN,NaN,1,5,1,NaN,NaN,5,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16317,NaN,NaN,5,1,NaN,6,NaN,NaN,NaN,6,6,6,7,NaN,NaN,NaN,7,7,NaN,NaN,1,7,7,NaN,NaN,NaN,NaN,1,6,1,NaN,NaN,7,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id17428,NaN,NaN,1,NaN,NaN,2,NaN,1,NaN,1,2,1,1,NaN,NaN,NaN,NaN,2,NaN,NaN,1,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id17429,1,1,1,2,NaN,4,1,1,NaN,2,1,1,3,1,1,NaN,2,2,1,1,2,2,2,2,1,NaN,1,1,2,3,1,1,2,NaN,1,1,1,1,1,1,1,1,NaN,NaN,2,1,2,1
id9547,3,1,4,3,1,6,2,7,NaN,5,3,3,4,1,3,NaN,4,4,1,2,2,4,5,2,1,1,1,1,4,2,2,2,4,1,1,NaN,3,1,2,2,2,1,NaN,NaN,2,1,2,7
