Row,id10968,id10969,id10970,id11612,id11614,id11921,id1495,id1498,id1500,id1502,id1516,id1525,id1527,id1528,id1532,id1535,id1536,id1541,id1546,id1548,id1552,id1582,id1588,id1590,id1591,id1597,id1604,id1606,id1610,id16305,id16308
id10968,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id10969,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id10970,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11612,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11614,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11921,NaN,NaN,NaN,NaN,NaN,1,0.5,NaN,1,NaN,0.5,1,0.5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,0.5,1,1,1,NaN,NaN,NaN,NaN
id1495,NaN,NaN,NaN,NaN,NaN,0.5,1,NaN,1,NaN,0.0357142857142857,0.5,1,NaN,1,0,1,NaN,1,NaN,NaN,0,0.5,0,0,0,1,0,0,NaN,NaN
id1498,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1500,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,0,1,1,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,0,NaN,NaN,1,NaN,NaN,NaN,NaN
id1502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1516,NaN,NaN,NaN,NaN,NaN,0.5,0.0357142857142857,NaN,0,1,1,0.5,0.285714285714286,NaN,1,1,1,NaN,1,NaN,NaN,1,0.5,1,1,1,0,1,1,NaN,NaN
id1525,NaN,NaN,NaN,NaN,NaN,1,0.5,NaN,1,NaN,0.5,1,0.5,1,NaN,1,NaN,NaN,1,1,NaN,1,1,0.5,1,1,1,NaN,NaN,NaN,NaN
id1527,NaN,NaN,NaN,NaN,NaN,0.5,1,NaN,1,1,0.285714285714286,0.5,1,NaN,1,0.333333333333333,NaN,NaN,NaN,NaN,NaN,0,0.5,0,0,0,1,0,0,NaN,NaN
id1528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1532,1,1,1,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,1,NaN,1,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1535,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,1,1,1,0.333333333333333,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,1,1,NaN,NaN
id1536,1,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1541,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1546,1,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,1,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1548,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1552,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1582,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,1,1,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.4,1,0.982758620689655,1,0.153846153846154,0.982758620689655,1,NaN,NaN
id1588,NaN,NaN,NaN,NaN,NaN,1,0.5,NaN,1,NaN,0.5,1,0.5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.4,1,0.375,0.5,0.4,0.666666666666667,0.466666666666667,0.5,NaN,NaN
id1590,NaN,NaN,NaN,NaN,NaN,0.5,0,NaN,0,NaN,1,0.5,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.375,1,0.982758620689655,1,0.2,0.983050847457627,1,NaN,NaN
id1591,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,1,1,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.982758620689655,0.5,0.982758620689655,1,0.972222222222222,0.214285714285714,1,0.981818181818182,NaN,NaN
id1597,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,1,1,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.4,1,0.972222222222222,1,0.153846153846154,0.972222222222222,1,NaN,NaN
id1604,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.153846153846154,0.666666666666667,0.2,0.214285714285714,0.153846153846154,1,0.266666666666667,0.214285714285714,NaN,NaN
id1606,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.982758620689655,0.466666666666667,0.983050847457627,1,0.972222222222222,0.266666666666667,1,0.981818181818182,NaN,NaN
id1610,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.5,1,0.981818181818182,1,0.214285714285714,0.981818181818182,1,NaN,NaN
id16305,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id16308,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
