Row,id10388,id10390,id10391,id10393,id10396,id10397,id10399,id10402,id10406,id10411,id10412,id10422,id10876,id10878,id10880,id10881,id10883,id11479,id11953,id12051,id12099,id12172,id12245,id14073,id14074,id14075,id14172,id14173,id14174,id14175,id14251,id14252,id14256,id14257,id14258,id14325,id14329,id14330,id14331,id14333,id14334,id14335,id14336,id14337,id14340,id14343,id14344,id14345,id14346,id14347,id14349,id14350,id14351,id16313,id16314,id16315,id16318,id16319,id16340,id16341,id16342,id16343,id16344,id16345,id16353,id16354,id16355,id16356,id16361,id16362,id16366,id16367,id16375,id16445,id16561,id16562,id16563,id16654,id16655,id16656,id16657,id16658,id16659,id16660,id16661,id16662,id16663,id16664,id7860,id7901,id7915,id7918,id7921,id7935,id7938,id7940,id7945,id7946,id7952,id7981
id10388,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10390,1083,1083,1083,1051,1063,1082,1067,1083,1037,1083,1052,380,1081,1062,1082,1070,743,1062,1074,1077,1083,1083,1074,724,729,729,719,725,716,727,726,692,727,729,716,727,713,717,729,682,726,717,729,729,728,714,728,729,721,728,728,718,720,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1082,1074,1080,1083,1083,1082,1048,1079,1042,1082,394,394
id10391,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10393,1113,1051,1113,1113,1093,1112,1097,1113,1060,1113,1082,369,1112,1091,1112,1100,790,1092,1104,1107,1113,1112,1104,696,701,701,691,697,688,699,698,664,699,701,687,699,685,690,701,654,698,689,701,701,700,686,700,701,693,700,700,690,692,383,380,374,382,379,383,383,383,383,377,383,380,379,383,378,377,377,383,382,383,380,383,383,383,349,376,377,383,383,382,346,381,383,382,383,1112,1101,1109,1113,1113,1111,1079,1109,1073,1112,383,383
id10396,1125,1063,1125,1093,1125,1124,1109,1125,1072,1125,1094,361,1123,1103,1124,1112,785,1104,1116,1119,1125,1124,1116,705,710,710,700,706,697,708,707,673,708,710,696,708,694,698,710,663,707,699,710,710,709,695,709,710,702,709,709,699,701,375,372,366,374,371,375,375,375,375,369,375,372,371,375,370,369,369,375,373,375,372,375,375,375,341,368,369,375,375,374,338,373,375,374,375,1124,1113,1121,1125,1125,1123,1090,1121,1084,1124,375,375
id10397,1144,1082,1144,1112,1124,1144,1128,1144,1091,1144,1113,380,1142,1122,1143,1131,804,1123,1135,1138,1144,1143,1135,724,729,729,719,725,716,727,726,692,727,729,715,727,713,717,729,682,726,717,729,729,728,714,728,729,721,728,728,718,720,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1143,1132,1140,1144,1144,1142,1109,1140,1103,1143,394,394
id10399,1129,1067,1129,1097,1109,1128,1129,1129,1076,1129,1098,380,1127,1107,1128,1117,797,1108,1120,1123,1129,1128,1120,716,721,721,711,717,708,719,718,684,719,721,707,719,705,709,721,674,718,709,721,721,720,711,720,721,713,720,720,710,712,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1128,1117,1125,1129,1129,1127,1094,1125,1088,1128,394,394
id10402,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10406,1092,1037,1092,1060,1072,1091,1076,1092,1092,1092,1061,353,1090,1070,1091,1081,766,1071,1083,1086,1092,1091,1083,683,688,688,678,684,675,686,685,672,686,688,674,686,673,676,688,662,685,676,688,688,687,673,687,688,680,687,687,677,679,367,364,358,366,363,367,367,367,367,361,367,364,363,367,362,361,361,367,365,367,364,367,367,367,333,361,361,367,367,366,351,365,367,366,367,1091,1080,1088,1092,1092,1090,1057,1088,1053,1091,367,367
id10411,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10412,1114,1052,1114,1082,1094,1113,1098,1114,1061,1114,1114,370,1112,1092,1113,1101,778,1093,1105,1108,1114,1113,1113,710,715,715,705,711,702,713,712,678,713,715,701,713,699,703,715,668,712,705,715,715,714,700,714,715,707,714,714,704,706,384,381,375,383,380,384,384,384,384,378,384,381,380,384,379,378,378,384,382,384,381,384,384,384,358,377,378,384,384,383,347,382,384,383,384,1113,1102,1110,1114,1114,1112,1079,1110,1073,1113,384,384
id10422,380,380,380,369,361,380,380,380,353,380,370,380,380,379,379,379,380,365,379,376,380,380,371,380,380,380,370,380,374,379,377,345,380,380,377,380,376,371,380,334,380,370,380,380,379,380,379,380,380,380,380,371,378,380,377,371,379,376,380,380,380,380,374,380,377,376,380,375,374,374,380,378,380,377,380,380,380,346,373,374,380,380,379,343,378,380,379,380,380,380,379,380,380,380,379,380,380,380,380,380
id10876,1143,1081,1143,1112,1123,1142,1127,1143,1090,1143,1112,380,1143,1121,1142,1130,804,1122,1134,1137,1143,1142,1134,723,728,728,718,724,715,726,725,691,726,728,714,726,712,716,728,681,725,716,728,728,727,713,727,728,720,727,727,717,719,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1142,1131,1139,1143,1143,1141,1108,1139,1102,1142,394,394
id10878,1123,1062,1123,1091,1103,1122,1107,1123,1070,1123,1092,379,1121,1123,1122,1110,788,1102,1114,1117,1123,1122,1114,722,723,723,713,719,710,721,720,686,721,723,709,721,707,711,723,676,720,711,723,723,722,708,722,723,715,722,722,712,714,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,360,386,387,393,393,392,356,391,393,392,393,1122,1111,1119,1123,1123,1121,1088,1119,1082,1122,393,393
id10880,1144,1082,1144,1112,1124,1143,1128,1144,1091,1144,1113,379,1142,1122,1144,1131,803,1123,1135,1138,1144,1143,1135,724,729,729,719,725,716,727,726,692,727,729,715,727,713,717,729,682,726,717,729,729,728,714,728,729,721,728,728,718,720,393,391,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,359,386,387,393,393,392,356,392,393,392,393,1143,1132,1140,1144,1144,1142,1109,1140,1103,1143,393,393
id10881,1132,1070,1132,1100,1112,1131,1117,1132,1081,1132,1101,379,1130,1110,1131,1132,799,1111,1123,1126,1132,1131,1123,716,721,721,711,717,708,719,718,684,721,721,707,719,705,709,721,674,718,709,721,721,720,711,720,721,713,720,720,712,712,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,359,387,387,393,393,392,356,391,393,392,393,1131,1120,1128,1132,1132,1130,1099,1128,1092,1131,393,393
id10883,804,743,804,790,785,804,797,804,766,804,778,380,804,788,803,799,804,783,799,799,804,803,795,394,394,394,384,394,388,393,391,359,394,394,391,394,390,385,394,348,394,384,394,394,393,394,393,394,394,394,394,385,392,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,803,795,802,804,804,802,787,804,793,804,394,394
id11479,1124,1062,1124,1092,1104,1123,1108,1124,1071,1124,1093,365,1122,1102,1123,1111,783,1124,1115,1118,1124,1123,1115,710,715,715,705,711,702,713,712,678,713,715,701,713,699,703,715,668,712,703,715,715,714,700,714,715,707,714,714,704,706,379,376,378,379,375,379,379,379,379,373,379,376,375,379,374,373,373,379,377,379,376,379,379,379,346,372,373,379,379,378,342,377,379,378,379,1123,1112,1120,1124,1124,1122,1089,1120,1083,1123,379,379
id11953,1136,1074,1136,1104,1116,1135,1120,1136,1083,1136,1105,379,1134,1114,1135,1123,799,1115,1136,1130,1136,1135,1127,720,725,725,715,721,712,723,722,688,723,725,712,723,709,713,725,678,722,713,725,725,724,710,724,725,717,724,724,714,716,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,360,386,387,393,393,392,356,391,393,392,393,1135,1124,1132,1136,1136,1134,1102,1132,1095,1135,393,393
id12051,1139,1077,1139,1107,1119,1138,1123,1139,1086,1139,1108,376,1137,1117,1138,1126,799,1118,1130,1139,1139,1138,1130,720,725,725,715,721,712,723,722,688,723,725,711,723,709,713,725,678,722,713,725,725,724,710,724,725,717,724,724,714,716,390,387,381,389,386,390,390,390,390,384,390,387,386,390,385,384,384,390,388,390,387,390,390,390,356,383,384,390,390,389,353,388,390,389,390,1138,1127,1136,1139,1139,1138,1104,1135,1098,1138,390,390
id12099,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id12172,1144,1083,1144,1112,1124,1143,1128,1144,1091,1144,1113,380,1142,1122,1143,1131,803,1123,1135,1138,1144,1144,1135,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1143,1132,1140,1144,1144,1142,1109,1140,1103,1143,394,394
id12245,1136,1074,1136,1104,1116,1135,1120,1136,1083,1136,1113,371,1134,1114,1135,1123,795,1115,1127,1130,1136,1135,1136,716,721,721,711,717,709,719,719,684,719,721,707,719,705,709,721,674,718,709,721,721,720,706,720,721,713,720,720,710,712,385,382,376,384,381,385,385,385,385,379,385,382,381,385,380,379,379,385,383,385,382,385,385,385,359,379,379,385,385,385,348,383,385,384,385,1135,1124,1132,1136,1136,1134,1101,1132,1095,1135,385,385
id14073,725,724,725,696,705,724,716,725,683,725,710,380,723,722,724,716,394,710,720,720,725,725,716,725,725,725,715,721,712,723,722,688,723,725,711,723,709,713,725,678,722,713,725,725,724,710,724,725,718,724,724,714,716,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,725,723,722,725,725,725,706,721,695,724,394,394
id14074,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14075,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14172,720,719,720,691,700,719,711,720,678,720,705,370,718,713,719,711,384,705,715,715,720,720,711,715,720,720,720,716,707,718,717,683,718,720,706,718,704,708,720,673,717,708,720,720,719,705,719,720,712,719,719,709,711,384,381,375,383,380,384,384,384,384,378,384,381,380,384,379,378,378,384,382,384,381,384,384,384,350,377,378,384,384,383,347,382,384,383,384,720,718,717,720,720,720,701,716,690,719,384,384
id14173,726,725,726,697,706,725,717,726,684,726,711,380,724,719,725,717,394,711,721,721,726,726,717,721,726,726,716,726,713,724,723,689,724,726,712,724,714,714,726,679,723,714,726,726,725,711,725,726,719,725,726,715,717,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,726,724,723,726,726,726,707,722,698,725,394,394
id14174,717,716,717,688,697,716,708,717,675,717,702,374,715,710,716,708,388,702,712,712,717,717,709,712,717,717,707,713,717,715,717,681,715,717,709,716,701,705,717,670,714,705,717,717,716,702,716,717,709,716,716,706,708,388,385,379,387,384,388,388,388,388,382,388,385,384,388,383,382,382,388,386,388,385,388,388,388,354,384,382,388,388,388,351,386,388,387,388,717,715,715,717,717,717,698,713,687,716,388,388
id14175,728,727,728,699,708,727,719,728,686,728,713,379,726,721,727,719,393,713,723,723,728,728,719,723,728,728,718,724,715,728,725,691,726,728,714,726,712,716,728,681,725,716,728,728,727,713,727,728,720,727,727,717,719,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,359,386,387,393,393,392,356,391,393,392,393,728,726,725,728,728,728,709,724,698,727,393,393
id14251,727,726,727,698,707,726,718,727,685,727,712,377,725,720,726,718,391,712,722,722,727,727,719,722,727,727,717,723,717,725,727,690,725,727,713,725,711,715,727,680,724,715,727,727,726,712,726,727,719,726,726,716,718,391,388,382,390,387,391,391,391,391,385,391,388,387,391,386,385,385,391,389,391,388,391,391,391,357,387,385,391,391,391,354,389,391,390,391,727,725,724,727,727,727,708,723,697,726,391,391
id14252,693,692,693,664,673,692,684,693,672,693,678,345,691,686,692,684,359,678,688,688,693,693,684,688,693,693,683,689,681,691,690,693,691,693,679,691,677,681,693,667,690,681,693,693,692,678,692,693,685,692,692,682,684,359,357,350,358,355,359,359,359,359,353,359,356,355,359,354,353,353,359,357,359,356,359,359,359,325,352,353,359,359,358,343,357,359,358,359,693,691,691,693,693,693,674,689,663,692,359,359
id14256,728,727,728,699,708,727,719,728,686,728,713,380,726,721,727,721,394,713,723,723,728,728,719,723,728,728,718,724,715,726,725,691,728,728,714,726,712,716,728,681,725,716,728,728,727,715,727,728,720,727,727,719,719,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,728,726,725,728,728,728,709,724,698,727,394,394
id14257,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14258,716,716,716,687,696,715,707,716,674,716,701,377,714,709,715,707,391,701,712,711,716,716,707,711,716,716,706,712,709,714,713,679,714,716,716,715,700,707,716,669,713,704,716,716,715,701,715,716,708,715,715,705,707,391,388,382,390,387,391,391,391,391,385,391,388,387,391,386,385,385,391,389,391,388,391,391,391,357,384,385,391,391,390,354,389,391,390,391,716,714,713,716,716,716,697,712,686,715,391,391
id14325,728,727,728,699,708,727,719,728,686,728,713,380,726,721,727,719,394,713,723,723,728,728,719,723,728,728,718,724,716,726,725,691,726,728,715,728,712,716,728,681,725,716,728,728,727,713,727,728,720,727,727,717,720,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,728,726,725,728,728,728,709,724,698,727,394,394
id14329,714,713,714,685,694,713,705,714,673,714,699,376,712,707,713,705,390,699,709,709,714,714,705,709,714,714,704,714,701,712,711,677,712,714,700,712,714,706,714,667,711,702,714,714,713,699,713,714,710,713,714,703,705,390,387,381,389,386,390,390,390,390,384,390,387,386,390,389,384,384,390,388,390,387,390,390,390,356,383,384,390,390,389,353,388,390,389,390,714,712,711,714,714,714,695,710,689,713,390,390
id14330,718,717,718,690,698,717,709,718,676,718,703,371,716,711,717,709,385,703,713,713,718,718,709,713,718,718,708,714,705,716,715,681,716,718,707,716,706,718,718,671,715,706,718,718,717,703,717,718,710,717,717,707,709,385,383,376,384,381,385,385,385,385,379,385,382,381,385,384,379,379,385,383,385,382,385,385,385,351,378,379,385,385,384,348,384,385,384,385,718,716,715,718,718,718,699,714,688,717,385,385
id14331,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14333,683,682,683,654,663,682,674,683,662,683,668,334,681,676,682,674,348,668,678,678,683,683,674,678,683,683,673,679,670,681,680,667,681,683,669,681,667,671,683,683,680,671,683,683,682,669,682,683,675,682,682,681,674,348,345,339,347,344,348,348,348,348,342,348,345,344,348,343,342,342,348,346,348,345,348,348,348,314,341,342,348,348,347,348,346,348,347,348,683,681,680,683,683,683,664,679,653,682,348,348
id14334,727,726,727,698,707,726,718,727,685,727,712,380,725,720,726,718,394,712,722,722,727,727,718,722,727,727,717,723,714,725,724,690,725,727,713,725,711,715,727,680,727,715,727,727,726,712,726,727,719,726,726,716,718,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,727,725,724,727,727,727,708,723,700,726,394,394
id14335,718,717,718,689,699,717,709,718,676,718,705,370,716,711,717,709,384,703,713,713,718,718,709,713,718,718,708,714,705,716,715,681,716,718,704,716,702,706,718,671,715,718,718,718,717,703,717,718,710,717,717,707,709,384,381,375,383,380,384,384,384,384,378,384,381,380,384,379,378,378,384,382,384,381,384,384,384,350,377,378,384,384,383,347,382,384,383,384,718,716,715,718,718,718,699,714,688,717,384,384
id14336,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14337,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
id14340,729,728,729,700,709,728,720,729,687,729,714,379,727,722,728,720,393,714,724,724,729,729,720,724,729,729,719,725,716,727,726,692,727,729,715,727,713,717,729,682,726,717,729,729,729,714,728,729,721,728,728,718,720,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,359,386,387,393,393,392,356,391,393,392,393,729,727,726,729,729,729,710,725,699,728,393,393
id14343,715,714,715,686,695,714,711,715,673,715,700,380,713,708,714,711,394,700,710,710,715,715,706,710,715,715,705,711,702,713,712,678,715,715,701,713,699,703,715,669,712,703,715,715,714,715,714,715,707,714,714,706,706,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,715,713,712,715,715,715,696,711,687,714,394,394
id14344,729,728,729,700,709,728,720,729,687,729,714,379,727,722,728,720,393,714,724,724,729,729,720,724,729,729,719,725,716,727,726,692,727,729,715,727,713,717,729,682,726,717,729,729,728,714,729,729,721,728,728,718,720,393,390,384,392,389,393,393,393,393,387,393,390,389,393,388,387,387,393,391,393,390,393,393,393,360,386,387,393,393,392,356,391,393,392,393,729,727,726,729,729,729,710,725,699,728,393,393
id14345,730,729,730,701,710,729,721,730,688,730,715,380,728,723,729,721,394,715,725,725,730,730,721,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,730,728,727,730,730,730,711,726,700,729,394,394
